feature,importance
ast_id,0.049497034786786305
emit,0.04103605847378754
require,0.025605436529129104
external,0.01928161598152246
internal,0.018767795343798323
view,0.018706873275986087
from,0.01624504093136627
dev,0.01570993269781524
will,0.015632046554098562
ast_len_nodes,0.015379652729951256
string,0.014538585483203904
mapping,0.014055098626062967
not,0.011527875419167635
can,0.011194217993971476
sub,0.011009144561950812
pure,0.010573989679037124
bytecode_entropy,0.010188591384358648
approve,0.009940952886988375
Weight bytecode_character_9,0.008829138668996594
else,0.00876245505298308
Weight bytecode_character_5,0.008508319908050305
Weight bytecode_character_c,0.008277436113118607
Opcode weight MSTORE,0.008222725033892795
Weight bytecode_character_f,0.008098600484396859
Weight bytecode_character_1,0.008066445496825073
Weight bytecode_character_3,0.008022413913389747
Weight bytecode_character_8,0.008020300400530055
Weight bytecode_character_0,0.007970279216632077
Weight bytecode_character_7,0.007961571464474612
length,0.007919322343737495
Opcode weight PUSH20,0.007869896855480509
Opcode weight STOP,0.007856762086895303
Weight bytecode_character_6,0.007790363039362881
bytecode_character_f,0.007727735797871675
Opcode weight PUSH1,0.007633283070113886
Weight bytecode_character_4,0.007624845560230365
Weight bytecode_character_2,0.007568828461894843
Weight bytecode_character_b,0.00750536304659904
Weight bytecode_character_e,0.007441145523609102
Weight bytecode_character_d,0.007367143702737263
Weight bytecode_character_a,0.0072829545612269385
eth,0.007270784577232236
bytecode_character_6,0.007223107519679231
Opcode weight DUP1,0.007087721562320886
bytecode_character_0,0.006872468928863547
Opcode weight DUP2,0.006846128830467241
bytecode_character_d,0.0067984665940494324
bytecode_character_7,0.006777785988658072
Opcode weight JUMPDEST,0.006757658335836143
Opcode weight DUP3,0.006676066003661722
bytecode_character_2,0.006634876469886758
Opcode weight REVERT,0.006634827038194886
bytecode_character_5,0.00659510381506048
bytecode_character_e,0.0064691128441333465
bytecode_character_8,0.006454183306316553
Opcode weight MLOAD,0.006383323993399921
Opcode weight POP,0.006366971967116698
Opcode weight EQ,0.006352348224553926
Opcode weight JUMPI,0.006326516336650183
bytecode_character_9,0.006311475622672571
Opcode weight LOG1,0.00628314939985409
Opcode weight PUSH6,0.006272076743749799
bytecode_character_b,0.006251357391278775
bytecode_character_1,0.006218724455388533
Opcode weight RETURN,0.006206541168297127
bytecode_character_4,0.006204500589125687
Opcode weight JUMP,0.006177395211216141
Opcode weight SWAP2,0.006053489604170182
bytecode_character_c,0.006007217695516043
bytecode_character_3,0.00597652941060859
Opcode weight SWAP1,0.005920042384884545
bytecode_character_a,0.005877443793145638
Opcode weight ISZERO,0.00586632910642888
memory,0.00584888740664018
Opcode weight CODECOPY,0.005745976006070825
Opcode weight LT,0.005725154922785946
Opcode weight CALLDATASIZE,0.005677761702892026
Opcode weight CALLVALUE,0.005624682643706266
Opcode weight SUB,0.005620571530067929
Opcode weight SWAP3,0.00557625214266228
Opcode weight DIV,0.005505545040261416
Opcode weight CALLDATALOAD,0.005467356589877574
Opcode weight PUSH4,0.005465162621966588
Opcode weight PUSH32,0.0054129590583446895
Opcode weight DUP5,0.005282193253455999
Opcode weight GT,0.005218971311165518
Opcode weight CALLER,0.005099550360952062
Opcode weight DUP4,0.005093007293966551
Opcode weight PUSH2,0.005019742916292459
Opcode weight SSTORE,0.004929745985964799
Opcode weight SLOAD,0.004847031141948258
Opcode weight PUSH29,0.004838396397097371
Opcode weight AND,0.004779100608154986
data,0.004776345821395027
Opcode weight ADD,0.004658713904240358
Opcode weight INVALID,0.004635152570444363
calls,0.004553765200191429
Opcode weight SWAP4,0.004309041800773727
Opcode weight MUL,0.004124638011972796
Opcode weight DUP6,0.004100482799273062
Opcode weight LOG3,0.004082768222533438
Opcode weight EXP,0.004017693175371265
Opcode weight NOT,0.003705728101162938
Opcode weight DUP7,0.0035740136985211407
Opcode weight ADDRESS,0.0035414240699262424
Opcode weight DUP9,0.0034722723045436553
Opcode weight DUP8,0.0033695900989646906
Opcode weight OR,0.003327544540394833
bytecode_len,0.0030056021491504364
Opcode weight CALL,0.0023742516777728335
Opcode weight BALANCE,0.0022050417645748136
Opcode weight PUSH3,0.0021644529929434318
Opcode weight PUSH8,0.0021469111891857335
Opcode weight RETURNDATASIZE,0.0021261677126660854
Opcode weight LOG2,0.0020828967066910953
Opcode weight BYTE,0.0020280798697336674
Opcode weight CALLDATACOPY,0.001932301181369855
Opcode weight RETURNDATACOPY,0.0019185404123860414
Opcode weight MSTORE8,0.0018795703142434831
Opcode weight TIMESTAMP,0.0018231084358560148
Opcode weight PUSH12,0.0017205108934350939
Opcode weight GAS,0.0017187127320366044
Opcode weight SWAP6,0.0017105015482715923
Opcode weight PUSH11,0.0016760259304597436
Opcode weight PUSH5,0.0016364252003469493
Opcode weight EXTCODESIZE,0.001623424418182203
Opcode weight NUMBER,0.0016139041686214137
Opcode weight SWAP5,0.0016000575131530639
Opcode weight CODESIZE,0.001569100941981108
Opcode weight MOD,0.0015258914746479472
Opcode weight PUSH7,0.0014250327225009483
Opcode weight PUSH22,0.0013954489983914332
Opcode weight LOG4,0.001382065239772524
Opcode weight SWAP8,0.0013465385655151518
Opcode weight DUP10,0.0013334148749789445
Opcode weight PUSH28,0.0013241868547196932
Opcode weight PUSH13,0.0013211470926994748
Opcode weight PUSH17,0.0012946826412129043
Opcode weight SWAP7,0.0012890503638764176
Opcode weight ORIGIN,0.0012824464773937801
Opcode weight STATICCALL,0.0012807413649442317
Opcode weight PUSH31,0.0012797239568514219
Opcode weight PUSH23,0.0012769685541880343
Opcode weight PUSH14,0.0012741689731509986
Opcode weight DUP15,0.0012545365398705687
Opcode weight PUSH9,0.0012434817671893536
Opcode weight PUSH15,0.001239781287869357
Opcode weight PUSH18,0.0012297450363532537
Opcode weight SDIV,0.0012100308427125568
Opcode weight DELEGATECALL,0.0012070819697382813
Opcode weight SHR,0.0012056597212102105
Opcode weight BLOCKHASH,0.0011892797253420014
Opcode weight DUP13,0.0011877326761210187
Opcode weight MSIZE,0.0011869945010420054
Opcode weight SHL,0.0011797496864005658
Opcode weight SELFDESTRUCT,0.0011768738348085202
Opcode weight DUP12,0.0011738781292131976
Opcode weight SWAP10,0.0011704119466781789
Opcode weight SWAP11,0.0011671915730959756
Opcode weight SWAP12,0.0011556234318250203
Opcode weight PUSH10,0.001152940792357192
Opcode weight MULMOD,0.0011526741281949863
Opcode weight PUSH16,0.0011516280041992566
Opcode weight PUSH19,0.0011462545932964694
Opcode weight PUSH25,0.0011423749369874052
Opcode weight PUSH30,0.0011393157916774882
Opcode weight PUSH26,0.0011091333209747424
Opcode weight SIGNEXTEND,0.0010977542451512021
Opcode weight PUSH24,0.001096960381457442
Opcode weight PUSH27,0.0010914729755790284
Opcode weight SWAP15,0.0010785577302262184
Opcode weight SWAP9,0.001077578379201609
Opcode weight PUSH21,0.0010734613480459824
Opcode weight DUP16,0.0010716201676478035
Opcode weight DUP11,0.0010708881931761102
Opcode weight SWAP13,0.0010683047419256088
Opcode weight SLT,0.0010648458518438756
Opcode weight PC,0.001059083475648648
Opcode weight XOR,0.001045912777319301
Opcode weight CALLCODE,0.0010377777273822188
Opcode weight DUP14,0.0010355942324466337
Opcode weight SGT,0.00103076278781443
Opcode weight SAR,0.0010164246309038833
Opcode weight GASLIMIT,0.0010124652905393993
Opcode weight DIFFICULTY,0.0009925081702038974
Opcode weight LOG0,0.0009775827203835014
Opcode weight SWAP14,0.0009707688052124465
Opcode weight CREATE,0.0009672528178507462
Opcode weight EXTCODECOPY,0.0009590720725507865
Opcode weight SMOD,0.0009526685029125294
Opcode weight COINBASE,0.0009372839214880131
Opcode weight ADDMOD,0.0009328875099282576
Opcode weight SWAP16,0.000912992951085652
Opcode weight GASPRICE,0.0008933450246997927
